step,layer,role,tph,grad_out_norm,latent_norm,ratio
100,3,V,128,7.482195e-05,3.344765e-01,2.236987e-04
100,3,Out,1024,6.101786e-04,3.411114e+00,1.788796e-04
100,4,Q,192,9.254194e-06,4.556573e-01,2.030955e-05
100,4,K,192,1.111654e-05,4.584522e-01,2.424798e-05
100,4,V,128,5.258896e-05,3.248640e-01,1.618799e-04
100,4,Out,1024,5.351207e-04,3.403115e+00,1.572444e-04
100,5,Q,192,2.209371e-06,4.540537e-01,4.865880e-06
100,5,K,192,5.217243e-06,4.552339e-01,1.146058e-05
100,5,V,128,3.880671e-05,3.312998e-01,1.171347e-04
100,5,Out,1024,5.138365e-04,3.405267e+00,1.508946e-04
200,0,Q,192,1.527237e-03,3.695843e+00,4.132311e-04
200,0,K,192,9.306434e-04,3.630436e+00,2.563448e-04
200,0,V,128,6.841016e-04,2.145850e+00,3.188021e-04
200,0,Out,1024,2.832983e-03,1.112902e+01,2.545581e-04
200,1,Q,192,5.370287e-04,3.066477e+00,1.751289e-04
200,1,K,192,1.912111e-04,2.129843e+00,8.977707e-05
200,1,V,128,3.550845e-04,1.428214e+00,2.486214e-04
200,1,Out,1024,1.351869e-03,7.087415e+00,1.907422e-04
200,2,Q,192,2.006358e-04,1.770312e+00,1.133335e-04
200,2,K,192,6.992940e-05,1.327644e+00,5.267181e-05
200,2,V,128,1.753563e-04,9.886336e-01,1.773724e-04
200,2,Out,1024,8.179739e-04,4.883454e+00,1.674990e-04
200,3,Q,192,2.735625e-05,7.361892e-01,3.715926e-05
200,3,K,192,1.167673e-05,6.753576e-01,1.728969e-05
200,3,V,128,5.995534e-05,6.461695e-01,9.278577e-05
200,3,Out,1024,4.447737e-04,3.923284e+00,1.133677e-04
200,4,Q,192,2.358925e-06,4.675111e-01,5.045709e-06
200,4,K,192,4.789570e-06,5.160442e-01,9.281317e-06
200,4,V,128,4.237477e-05,5.163922e-01,8.205927e-05
200,4,Out,1024,4.204795e-04,3.579369e+00,1.174731e-04
200,5,Q,192,9.514782e-07,4.559112e-01,2.086981e-06
200,5,K,192,3.071940e-06,4.622838e-01,6.645138e-06
200,5,V,128,4.378430e-05,5.428896e-01,8.065048e-05
200,5,Out,1024,4.399638e-04,3.581290e+00,1.228506e-04
300,0,Q,192,1.692149e-03,6.384150e+00,2.650547e-04
300,0,K,192,1.346606e-03,6.891660e+00,1.953965e-04
300,0,V,128,9.217463e-04,4.296322e+00,2.145431e-04
300,0,Out,1024,3.631771e-03,2.403879e+01,1.510796e-04
300,1,Q,192,5.758526e-04,5.874527e+00,9.802535e-05
300,1,K,192,1.903208e-04,4.443794e+00,4.282844e-05
300,1,V,128,3.867394e-04,2.905314e+00,1.331145e-04
300,1,Out,1024,1.453264e-03,1.375412e+01,1.056603e-04
300,2,Q,192,1.638397e-04,3.606330e+00,4.543114e-05
300,2,K,192,7.076703e-05,2.660452e+00,2.659962e-05
300,2,V,128,1.705811e-04,2.040552e+00,8.359557e-05
300,2,Out,1024,6.465484e-04,8.037915e+00,8.043733e-05
300,3,Q,192,1.391058e-05,1.122545e+00,1.239200e-05
300,3,K,192,1.045424e-05,9.882812e-01,1.057821e-05
300,3,V,128,3.935044e-05,1.044232e+00,3.768362e-05
300,3,Out,1024,3.472260e-04,4.577434e+00,7.585603e-05
300,4,Q,192,9.766117e-07,4.755307e-01,2.053730e-06
300,4,K,192,4.197601e-06,5.855270e-01,7.168928e-06
300,4,V,128,3.371683e-05,8.502680e-01,3.965435e-05
300,4,Out,1024,3.515697e-04,3.907056e+00,8.998329e-05
300,5,Q,192,6.052538e-07,4.579672e-01,1.321610e-06
300,5,K,192,2.017289e-06,4.743447e-01,4.252790e-06
300,5,V,128,3.785064e-05,9.913349e-01,3.818149e-05
300,5,Out,1024,3.643732e-04,4.248564e+00,8.576385e-05
400,0,Q,192,2.201285e-03,9.733006e+00,2.261670e-04
400,0,K,192,2.029823e-03,1.113767e+01,1.822485e-04
400,0,V,128,1.324344e-03,6.794186e+00,1.949231e-04
400,0,Out,1024,4.515463e-03,4.633037e+01,9.746228e-05
400,1,Q,192,5.154544e-04,8.847262e+00,5.826146e-05
400,1,K,192,2.393582e-04,7.378741e+00,3.243889e-05
400,1,V,128,4.143477e-04,4.574345e+00,9.058077e-05
400,1,Out,1024,1.344322e-03,2.123837e+01,6.329685e-05
400,2,Q,192,1.516842e-04,5.546491e+00,2.734779e-05
400,2,K,192,6.848112e-05,4.351116e+00,1.573875e-05
400,2,V,128,1.597517e-04,3.184161e+00,5.017074e-05
400,2,Out,1024,6.097161e-04,1.226173e+01,4.972513e-05
400,3,Q,192,1.462435e-05,1.536170e+00,9.520003e-06
400,3,K,192,9.135031e-06,1.399556e+00,6.527094e-06
400,3,V,128,4.436490e-05,1.583868e+00,2.801048e-05
400,3,Out,1024,3.283258e-04,5.589911e+00,5.873542e-05
400,4,Q,192,1.044936e-06,4.814765e-01,2.170274e-06
400,4,K,192,2.257587e-06,6.311772e-01,3.576787e-06
400,4,V,128,3.071915e-05,1.220178e+00,2.517595e-05
400,4,Out,1024,2.933196e-04,4.602231e+00,6.373423e-05
400,5,Q,192,3.711541e-07,4.597456e-01,8.073033e-07
400,5,K,192,1.504351e-06,4.874614e-01,3.086093e-06
400,5,V,128,4.590824e-05,1.364639e+00,3.364130e-05
400,5,Out,1024,3.478565e-04,5.092463e+00,6.830811e-05
500,0,Q,192,2.866060e-03,1.404447e+01,2.040704e-04
500,0,K,192,2.935561e-03,1.631904e+01,1.798856e-04
500,0,V,128,2.328909e-03,9.939508e+00,2.343083e-04
500,0,Out,1024,6.730528e-03,7.870367e+01,8.551732e-05
500,1,Q,192,6.936835e-04,1.246253e+01,5.566154e-05
500,1,K,192,2.951876e-04,1.080658e+01,2.731554e-05
500,1,V,128,4.317008e-04,6.400008e+00,6.745316e-05
500,1,Out,1024,1.380818e-03,2.882239e+01,4.790781e-05
500,2,Q,192,1.165053e-04,7.593733e+00,1.534229e-05
500,2,K,192,4.552263e-05,5.973156e+00,7.621201e-06
500,2,V,128,1.103132e-04,4.365886e+00,2.526708e-05
500,2,Out,1024,4.870280e-04,1.692408e+01,2.877721e-05
500,3,Q,192,1.277002e-05,1.988807e+00,6.420945e-06
500,3,K,192,7.943175e-06,1.885912e+00,4.211848e-06
500,3,V,128,3.475561e-05,2.411809e+00,1.441060e-05
500,3,Out,1024,2.943210e-04,7.310298e+00,4.026114e-05
500,4,Q,192,3.952741e-07,4.855451e-01,8.140832e-07
500,4,K,192,1.542746e-06,6.751359e-01,2.285090e-06
500,4,V,128,2.657732e-05,1.702873e+00,1.560734e-05
500,4,Out,1024,2.869134e-04,5.661716e+00,5.067604e-05
500,5,Q,192,3.549514e-07,4.611536e-01,7.697031e-07
500,5,K,192,1.405624e-06,5.016454e-01,2.802026e-06
500,5,V,128,3.164170e-05,1.867263e+00,1.694550e-05
500,5,Out,1024,3.129005e-04,6.377859e+00,4.906044e-05
600,0,Q,192,2.653140e-03,1.691280e+01,1.568717e-04
600,0,K,192,3.066291e-03,1.970177e+01,1.556353e-04
600,0,V,128,3.006379e-03,1.293151e+01,2.324848e-04
600,0,Out,1024,7.803128e-03,1.091945e+02,7.146082e-05
600,1,Q,192,6.698951e-04,1.558495e+01,4.298345e-05
600,1,K,192,2.840566e-04,1.376710e+01,2.063300e-05
600,1,V,128,4.524325e-04,7.854271e+00,5.760337e-05
600,1,Out,1024,1.399458e-03,3.626256e+01,3.859237e-05
600,2,Q,192,1.176404e-04,9.244364e+00,1.272563e-05
600,2,K,192,6.297225e-05,7.298747e+00,8.627816e-06
600,2,V,128,1.194695e-04,5.168750e+00,2.311381e-05
600,2,Out,1024,4.829936e-04,2.034786e+01,2.373682e-05
600,3,Q,192,8.124398e-06,2.209782e+00,3.676560e-06
600,3,K,192,6.806984e-06,2.231990e+00,3.049737e-06
600,3,V,128,3.416210e-05,2.922498e+00,1.168935e-05
600,3,Out,1024,2.647443e-04,8.478241e+00,3.122632e-05
600,4,Q,192,2.516937e-07,4.878623e-01,5.159114e-07
600,4,K,192,1.337226e-06,7.024177e-01,1.903748e-06
600,4,V,128,2.286333e-05,2.116423e+00,1.080282e-05
600,4,Out,1024,2.457737e-04,6.552862e+00,3.750632e-05
600,5,Q,192,2.082950e-07,4.629311e-01,4.499482e-07
600,5,K,192,1.113401e-06,5.148773e-01,2.162458e-06
600,5,V,128,2.765318e-05,2.259015e+00,1.224126e-05
600,5,Out,1024,2.698569e-04,7.222887e+00,3.736136e-05
700,0,Q,192,2.181733e-03,1.862208e+01,1.171584e-04
700,0,K,192,2.495031e-03,2.174678e+01,1.147310e-04
700,0,V,128,4.248987e-03,1.529703e+01,2.777655e-04
700,0,Out,1024,1.020782e-02,1.333220e+02,7.656516e-05
700,1,Q,192,7.875717e-04,1.775709e+01,4.435251e-05
700,1,K,192,3.385048e-04,1.582734e+01,2.138734e-05
700,1,V,128,4.856618e-04,8.923948e+00,5.442231e-05
700,1,Out,1024,1.486856e-03,4.161262e+01,3.573089e-05
700,2,Q,192,1.758207e-04,1.055035e+01,1.666491e-05
700,2,K,192,7.913123e-05,8.253864e+00,9.587173e-06
700,2,V,128,1.793693e-04,5.734258e+00,3.128029e-05
700,2,Out,1024,5.252721e-04,2.280333e+01,2.303489e-05
700,3,Q,192,5.249949e-06,2.407887e+00,2.180314e-06
700,3,K,192,4.789978e-06,2.483254e+00,1.928911e-06
700,3,V,128,4.052663e-05,3.353905e+00,1.208342e-05
700,3,Out,1024,2.645625e-04,9.338356e+00,2.833074e-05
700,4,Q,192,3.435005e-07,4.902946e-01,7.006002e-07
700,4,K,192,2.097004e-06,7.322531e-01,2.863769e-06
700,4,V,128,3.341547e-05,2.411884e+00,1.385451e-05
700,4,Out,1024,2.370140e-04,7.128439e+00,3.324907e-05
700,5,Q,192,2.837369e-07,4.643598e-01,6.110282e-07
700,5,K,192,1.914455e-06,5.324808e-01,3.595350e-06
700,5,V,128,5.054766e-05,2.514024e+00,2.010628e-05
700,5,Out,1024,2.824645e-04,7.954911e+00,3.550819e-05
800,0,Q,192,1.911449e-03,1.967420e+01,9.715509e-05
800,0,K,192,2.033717e-03,2.294068e+01,8.865113e-05
800,0,V,128,4.094475e-03,1.720832e+01,2.379357e-04
800,0,Out,1024,9.531999e-03,1.528628e+02,6.235655e-05
800,1,Q,192,6.366213e-04,1.935748e+01,3.288761e-05
800,1,K,192,3.288580e-04,1.729015e+01,1.901997e-05
800,1,V,128,4.139961e-04,9.722327e+00,4.258200e-05
800,1,Out,1024,1.238041e-03,4.616566e+01,2.681735e-05
800,2,Q,192,1.187741e-04,1.172090e+01,1.013353e-05
800,2,K,192,5.833441e-05,9.165972e+00,6.364236e-06
800,2,V,128,1.172783e-04,6.319458e+00,1.855829e-05
800,2,Out,1024,5.254460e-04,2.484478e+01,2.114915e-05
800,3,Q,192,5.231181e-06,2.492816e+00,2.098503e-06
800,3,K,192,4.238026e-06,2.599083e+00,1.630585e-06
800,3,V,128,3.035862e-05,3.764777e+00,8.063856e-06
800,3,Out,1024,2.656407e-04,1.016972e+01,2.612074e-05
800,4,Q,192,2.917724e-07,4.934029e-01,5.913470e-07
800,4,K,192,1.201236e-06,7.606466e-01,1.579230e-06
800,4,V,128,2.353429e-05,2.709371e+00,8.686254e-06
800,4,Out,1024,2.322249e-04,7.739673e+00,3.000448e-05
800,5,Q,192,1.728317e-07,4.678277e-01,3.694346e-07
800,5,K,192,1.060354e-06,5.621184e-01,1.886353e-06
800,5,V,128,2.839294e-05,2.761131e+00,1.028308e-05
800,5,Out,1024,2.608783e-04,8.504704e+00,3.067459e-05
900,0,Q,192,1.533104e-03,2.036411e+01,7.528458e-05
900,0,K,192,1.711938e-03,2.371989e+01,7.217310e-05
900,0,V,128,4.230092e-03,1.862975e+01,2.270611e-04
900,0,Out,1024,9.572740e-03,1.653807e+02,5.788305e-05
900,1,Q,192,5.617516e-04,2.050686e+01,2.739334e-05
900,1,K,192,2.672604e-04,1.848158e+01,1.446090e-05
900,1,V,128,3.466715e-04,1.038150e+01,3.339319e-05
900,1,Out,1024,1.094680e-03,4.987451e+01,2.194869e-05
900,2,Q,192,1.041487e-04,1.268946e+01,8.207491e-06
900,2,K,192,5.625008e-05,1.028920e+01,5.466904e-06
900,2,V,128,1.291761e-04,6.973608e+00,1.852356e-05
900,2,Out,1024,4.666279e-04,2.743320e+01,1.700961e-05
900,3,Q,192,5.568294e-06,2.649859e+00,2.101355e-06
900,3,K,192,4.263911e-06,2.843596e+00,1.499479e-06
900,3,V,128,2.915461e-05,4.244573e+00,6.868680e-06
900,3,Out,1024,2.378793e-04,1.138304e+01,2.089769e-05
900,4,Q,192,5.124460e-07,5.028973e-01,1.018988e-06
900,4,K,192,1.521218e-06,8.216143e-01,1.851499e-06
900,4,V,128,2.358531e-05,3.049805e+00,7.733383e-06
900,4,Out,1024,2.321401e-04,8.382921e+00,2.769203e-05
900,5,Q,192,6.015445e-07,4.727656e-01,1.272395e-06
900,5,K,192,1.722228e-06,5.985672e-01,2.877251e-06
900,5,V,128,3.312561e-05,3.099726e+00,1.068662e-05
900,5,Out,1024,2.488690e-04,9.022921e+00,2.758187e-05
1000,0,Q,192,1.650511e-03,2.102110e+01,7.851689e-05
1000,0,K,192,1.960401e-03,2.448676e+01,8.005964e-05
1000,0,V,128,4.566750e-03,1.984012e+01,2.301775e-04
1000,0,Out,1024,1.029146e-02,1.761329e+02,5.843009e-05
1000,1,Q,192,5.837829e-04,2.147872e+01,2.717960e-05
1000,1,K,192,2.530219e-04,1.955915e+01,1.293624e-05
1000,1,V,128,3.314484e-04,1.098628e+01,3.016930e-05
1000,1,Out,1024,1.174664e-03,5.396092e+01,2.176880e-05
1000,2,Q,192,1.065442e-04,1.348342e+01,7.901871e-06
1000,2,K,192,6.261869e-05,1.125572e+01,5.563276e-06
1000,2,V,128,9.869056e-05,7.497106e+00,1.316382e-05
1000,2,Out,1024,4.656133e-04,2.911032e+01,1.599478e-05
1000,3,Q,192,6.067368e-06,2.764118e+00,2.195046e-06
1000,3,K,192,6.000264e-06,3.015234e+00,1.989983e-06
1000,3,V,128,3.300914e-05,4.603684e+00,7.170158e-06
1000,3,Out,1024,2.607649e-04,1.197879e+01,2.176889e-05
1000,4,Q,192,1.162196e-06,5.108216e-01,2.275151e-06
1000,4,K,192,3.068434e-06,8.821500e-01,3.478358e-06
1000,4,V,128,3.076766e-05,3.555819e+00,8.652764e-06
1000,4,Out,1024,2.555134e-04,9.198979e+00,2.777628e-05
1000,5,Q,192,6.094214e-07,4.802289e-01,1.269023e-06
1000,5,K,192,1.866433e-06,6.509078e-01,2.867431e-06
1000,5,V,128,2.920939e-05,3.537943e+00,8.256036e-06
1000,5,Out,1024,2.794322e-04,1.011360e+01,2.762934e-05
1100,0,Q,192,1.641266e-03,2.195805e+01,7.474552e-05
1100,0,K,192,1.911252e-03,2.554339e+01,7.482375e-05
1100,0,V,128,5.023445e-03,2.093304e+01,2.399768e-04
1100,0,Out,1024,1.101155e-02,1.876678e+02,5.867578e-05
1100,1,Q,192,6.211018e-04,2.231276e+01,2.783617e-05
1100,1,K,192,3.032504e-04,2.053978e+01,1.476405e-05
1100,1,V,128,4.030568e-04,1.152113e+01,3.498414e-05
1100,1,Out,1024,1.233399e-03,5.731937e+01,2.151801e-05
1100,2,Q,192,1.240244e-04,1.410160e+01,8.795058e-06
1100,2,K,192,7.493460e-05,1.203396e+01,6.226927e-06
1100,2,V,128,1.238497e-04,7.937293e+00,1.560352e-05
1100,2,Out,1024,4.925329e-04,3.037296e+01,1.621616e-05
1100,3,Q,192,3.956677e-06,2.890508e+00,1.368852e-06
1100,3,K,192,4.482750e-06,3.216220e+00,1.393794e-06
1100,3,V,128,3.230776e-05,4.951557e+00,6.524769e-06
1100,3,Out,1024,2.603254e-04,1.274397e+01,2.042734e-05
1100,4,Q,192,1.437294e-06,5.744914e-01,2.501854e-06
1100,4,K,192,3.389994e-06,1.043863e+00,3.247545e-06
1100,4,V,128,3.081237e-05,3.996813e+00,7.709236e-06
1100,4,Out,1024,2.885238e-04,1.003409e+01,2.875434e-05
1100,5,Q,192,6.256909e-07,5.019107e-01,1.246618e-06
1100,5,K,192,1.825916e-06,7.618516e-01,2.396682e-06
1100,5,V,128,3.168909e-05,4.024520e+00,7.874006e-06
1100,5,Out,1024,3.050873e-04,1.145131e+01,2.664212e-05
1200,0,Q,192,1.669621e-03,2.283091e+01,7.312985e-05
1200,0,K,192,1.957909e-03,2.641996e+01,7.410719e-05
1200,0,V,128,5.223087e-03,2.196258e+01,2.378175e-04
1200,0,Out,1024,1.128147e-02,1.997888e+02,5.646697e-05
1200,1,Q,192,5.079341e-04,2.310139e+01,2.198717e-05
1200,1,K,192,3.038034e-04,2.145315e+01,1.416125e-05
1200,1,V,128,3.378943e-04,1.201025e+01,2.813382e-05
1200,1,Out,1024,1.009564e-03,6.007392e+01,1.680536e-05
1200,2,Q,192,9.068305e-05,1.473434e+01,6.154539e-06
1200,2,K,192,6.746976e-05,1.286414e+01,5.244795e-06
1200,2,V,128,1.116289e-04,8.423825e+00,1.325157e-05
1200,2,Out,1024,4.650523e-04,3.209079e+01,1.449177e-05
1200,3,Q,192,5.433944e-06,2.989911e+00,1.817427e-06
1200,3,K,192,5.231790e-06,3.363032e+00,1.555676e-06
1200,3,V,128,2.790214e-05,5.313338e+00,5.251339e-06
1200,3,Out,1024,2.335378e-04,1.333896e+01,1.750795e-05
1200,4,Q,192,2.157465e-06,6.568505e-01,3.284561e-06
1200,4,K,192,2.682115e-06,1.232631e+00,2.175926e-06
1200,4,V,128,2.362550e-05,4.542486e+00,5.201006e-06
1200,4,Out,1024,2.322456e-04,1.111712e+01,2.089081e-05
1200,5,Q,192,5.700711e-07,5.236864e-01,1.088573e-06
1200,5,K,192,1.675494e-06,8.645968e-01,1.937891e-06
1200,5,V,128,2.729834e-05,4.525978e+00,6.031479e-06
1200,5,Out,1024,2.647198e-04,1.299684e+01,2.036801e-05
1300,0,Q,192,1.616389e-03,2.352343e+01,6.871399e-05
1300,0,K,192,1.985492e-03,2.709419e+01,7.328112e-05
1300,0,V,128,5.936699e-03,2.288982e+01,2.593598e-04
1300,0,Out,1024,1.275047e-02,2.096822e+02,6.080854e-05
1300,1,Q,192,5.781883e-04,2.377939e+01,2.431468e-05
1300,1,K,192,2.340606e-04,2.232473e+01,1.048436e-05
1300,1,V,128,3.329174e-04,1.251114e+01,2.660969e-05
1300,1,Out,1024,1.089520e-03,6.244932e+01,1.744647e-05
1300,2,Q,192,1.101136e-04,1.540135e+01,7.149607e-06
1300,2,K,192,8.478553e-05,1.375329e+01,6.164747e-06
1300,2,V,128,1.461040e-04,8.963335e+00,1.630018e-05
1300,2,Out,1024,5.164961e-04,3.392430e+01,1.522496e-05
1300,3,Q,192,7.114109e-06,3.210037e+00,2.216208e-06
1300,3,K,192,5.425595e-06,3.573607e+00,1.518241e-06
1300,3,V,128,2.848792e-05,5.705214e+00,4.993313e-06
1300,3,Out,1024,2.453121e-04,1.379670e+01,1.778049e-05
1300,4,Q,192,9.551013e-07,7.010920e-01,1.362305e-06
1300,4,K,192,2.290589e-06,1.337297e+00,1.712850e-06
1300,4,V,128,2.459588e-05,4.812932e+00,5.110373e-06
1300,4,Out,1024,2.387391e-04,1.169416e+01,2.041524e-05
1300,5,Q,192,6.506313e-07,5.411925e-01,1.202218e-06
1300,5,K,192,2.158172e-06,9.553272e-01,2.259092e-06
1300,5,V,128,3.637035e-05,4.832973e+00,7.525461e-06
1300,5,Out,1024,3.273431e-04,1.407756e+01,2.325282e-05
1400,0,Q,192,1.351851e-03,2.400278e+01,5.632057e-05
1400,0,K,192,1.564089e-03,2.753195e+01,5.680996e-05
1400,0,V,128,5.344373e-03,2.366136e+01,2.258692e-04
1400,0,Out,1024,1.164711e-02,2.177836e+02,5.348021e-05
1400,1,Q,192,4.868034e-04,2.436896e+01,1.997637e-05
1400,1,K,192,2.588043e-04,2.308274e+01,1.121202e-05
1400,1,V,128,3.016815e-04,1.297789e+01,2.324581e-05
1400,1,Out,1024,1.041081e-03,6.500453e+01,1.601552e-05
1400,2,Q,192,1.179009e-04,1.614034e+01,7.304735e-06
1400,2,K,192,8.240063e-05,1.460738e+01,5.641026e-06
1400,2,V,128,1.235304e-04,9.491566e+00,1.301475e-05
1400,2,Out,1024,4.884815e-04,3.583043e+01,1.363315e-05
1400,3,Q,192,6.642531e-06,3.413386e+00,1.946024e-06
1400,3,K,192,4.420851e-06,3.781532e+00,1.169064e-06
1400,3,V,128,2.905743e-05,6.074168e+00,4.783771e-06
1400,3,Out,1024,2.431055e-04,1.447653e+01,1.679307e-05
1400,4,Q,192,1.719414e-06,7.436421e-01,2.312153e-06
1400,4,K,192,3.086531e-06,1.446307e+00,2.134078e-06
1400,4,V,128,2.642320e-05,5.220212e+00,5.061710e-06
1400,4,Out,1024,2.680449e-04,1.246192e+01,2.150911e-05
1400,5,Q,192,9.432238e-07,5.647710e-01,1.670100e-06
1400,5,K,192,2.656299e-06,1.054860e+00,2.518153e-06
1400,5,V,128,2.945871e-05,5.051952e+00,5.831153e-06
1400,5,Out,1024,2.739057e-04,1.510146e+01,1.813770e-05
1500,0,Q,192,1.424363e-03,2.444845e+01,5.825984e-05
1500,0,K,192,1.582554e-03,2.793936e+01,5.664244e-05
1500,0,V,128,5.440522e-03,2.433920e+01,2.235292e-04
1500,0,Out,1024,1.160425e-02,2.245809e+02,5.167068e-05
1500,1,Q,192,5.409978e-04,2.490910e+01,2.171888e-05
1500,1,K,192,2.649796e-04,2.374170e+01,1.116094e-05
1500,1,V,128,3.332057e-04,1.340360e+01,2.485941e-05
1500,1,Out,1024,1.055361e-03,6.734689e+01,1.567053e-05
1500,2,Q,192,1.083642e-04,1.672468e+01,6.479301e-06
1500,2,K,192,7.890136e-05,1.531295e+01,5.152591e-06
1500,2,V,128,1.258037e-04,9.955605e+00,1.263647e-05
1500,2,Out,1024,5.204229e-04,3.735862e+01,1.393046e-05
1500,3,Q,192,7.313562e-06,3.616963e+00,2.022017e-06
1500,3,K,192,5.669134e-06,4.026421e+00,1.407983e-06
1500,3,V,128,3.254394e-05,6.533455e+00,4.981123e-06
1500,3,Out,1024,2.585648e-04,1.545008e+01,1.673550e-05
1500,4,Q,192,3.910272e-06,9.134145e-01,4.280940e-06
1500,4,K,192,3.064265e-06,1.626440e+00,1.884032e-06
1500,4,V,128,2.702610e-05,5.604545e+00,4.822176e-06
1500,4,Out,1024,2.490925e-04,1.332786e+01,1.868962e-05
1500,5,Q,192,7.888420e-07,5.829628e-01,1.353160e-06
1500,5,K,192,2.209290e-06,1.126934e+00,1.960444e-06
1500,5,V,128,3.097210e-05,5.267614e+00,5.879720e-06
1500,5,Out,1024,2.629730e-04,1.574777e+01,1.669907e-05
1600,0,Q,192,1.271167e-03,2.480308e+01,5.125035e-05
1600,0,K,192,1.435580e-03,2.823640e+01,5.084145e-05
1600,0,V,128,5.522468e-03,2.491177e+01,2.216811e-04
1600,0,Out,1024,1.176751e-02,2.302269e+02,5.111266e-05
1600,1,Q,192,5.089997e-04,2.536696e+01,2.006546e-05
1600,1,K,192,2.621509e-04,2.429197e+01,1.079167e-05
1600,1,V,128,3.800952e-04,1.375636e+01,2.763050e-05
1600,1,Out,1024,1.212419e-03,6.972056e+01,1.738969e-05
1600,2,Q,192,1.373717e-04,1.729369e+01,7.943456e-06
1600,2,K,192,1.015768e-04,1.600800e+01,6.345374e-06
1600,2,V,128,1.495812e-04,1.036630e+01,1.442956e-05
1600,2,Out,1024,5.799921e-04,3.867577e+01,1.499626e-05
1600,3,Q,192,7.492015e-06,3.831138e+00,1.955559e-06
1600,3,K,192,5.281026e-06,4.256569e+00,1.240676e-06
1600,3,V,128,3.217965e-05,6.845471e+00,4.700868e-06
1600,3,Out,1024,2.727579e-04,1.626248e+01,1.677222e-05
1600,4,Q,192,2.596823e-06,1.346972e+00,1.927896e-06
1600,4,K,192,2.821401e-06,2.020743e+00,1.396220e-06
1600,4,V,128,3.096885e-05,5.903150e+00,5.246158e-06
1600,4,Out,1024,2.604767e-04,1.424336e+01,1.828759e-05
1600,5,Q,192,5.386647e-07,6.026272e-01,8.938606e-07
1600,5,K,192,2.137250e-06,1.212914e+00,1.762080e-06
1600,5,V,128,3.246299e-05,5.642388e+00,5.753414e-06
1600,5,Out,1024,2.675331e-04,1.663978e+01,1.607792e-05
1700,0,Q,192,1.677715e-03,2.512043e+01,6.678688e-05
1700,0,K,192,1.727034e-03,2.848879e+01,6.062150e-05
1700,0,V,128,5.552806e-03,2.539994e+01,2.186149e-04
1700,0,Out,1024,1.176453e-02,2.349889e+02,5.006421e-05
1700,1,Q,192,5.078380e-04,2.581871e+01,1.966938e-05
1700,1,K,192,2.823149e-04,2.487320e+01,1.135017e-05
1700,1,V,128,3.280459e-04,1.414641e+01,2.318933e-05
1700,1,Out,1024,1.019966e-03,7.241168e+01,1.408566e-05
1700,2,Q,192,1.156352e-04,1.787060e+01,6.470695e-06
1700,2,K,192,8.288017e-05,1.666410e+01,4.973576e-06
1700,2,V,128,1.283381e-04,1.076477e+01,1.192205e-05
1700,2,Out,1024,4.828075e-04,4.005971e+01,1.205220e-05
